step,s_loss,c_loss
577,11603088.0,32141.43
578,11560673.0,32128.46
579,11518601.0,32115.805
580,11476967.0,32103.406
581,11435561.0,32091.176
582,11394439.0,32078.816
583,11353554.0,32066.432
584,11312980.0,32054.041
585,11272701.0,32041.586
586,11232625.0,32029.238
587,11192821.0,32017.066
588,11153349.0,32005.11
589,11114148.0,31993.004
590,11075329.0,31980.883
591,11036923.0,31968.504
592,10998826.0,31955.809
593,10961054.0,31942.83
594,10923560.0,31929.484
595,10886327.0,31915.809
596,10849313.0,31902.053
597,10812513.0,31888.074
598,10775980.0,31873.969
599,10739664.0,31859.848
600,10703613.0,31845.434
601,10667821.0,31830.885
602,10632292.0,31816.34
603,10596978.0,31801.967
604,10561851.0,31787.578
605,10526941.0,31773.232
606,10492253.0,31759.031
607,10457714.0,31744.936
608,10423317.0,31730.91
609,10389184.0,31716.89
610,10355305.0,31703.027
611,10321733.0,31689.164
612,10288457.0,31675.242
613,10255436.0,31661.416
614,10222621.0,31647.857
615,10189994.0,31634.662
616,10157560.0,31621.451
617,10125294.0,31608.248
618,10093187.0,31595.053
619,10061241.0,31581.887
620,10029542.0,31568.758
621,9998142.0,31555.578
622,9966998.0,31542.355
623,9936060.0,31528.98
624,9905370.0,31515.39
625,9874928.0,31501.648
626,9844684.0,31488.016
627,9814602.0,31474.326
628,9784700.0,31460.443
629,9754918.0,31446.49
630,9725248.0,31432.438
631,9695694.0,31418.422
632,9666241.0,31404.555
633,9636973.0,31390.67
634,9607907.0,31376.973
635,9578979.0,31363.535
636,9550217.0,31350.297
637,9521570.0,31337.125
638,9493016.0,31324.004
639,9464561.0,31311.031
640,9436210.0,31298.363
641,9407989.0,31285.773
642,9379936.0,31273.225
643,9352007.0,31260.693
644,9324266.0,31248.158
645,9296713.0,31235.586
646,9269307.0,31222.826
647,9242100.0,31210.07
648,9215012.0,31197.334
649,9188101.0,31184.648
650,9161412.0,31172.102
651,9134965.0,31159.627
652,9108727.0,31147.455
653,9082678.0,31135.447
654,9056774.0,31123.562
655,9031022.0,31111.973
656,9005378.0,31100.447
657,8979813.0,31088.973
658,8954357.0,31077.676
659,8928990.0,31066.443
660,8903688.0,31055.227
661,8878482.0,31044.148
662,8853384.0,31033.156
663,8828425.0,31022.291
664,8803546.0,31011.5
665,8778772.0,31000.8
666,8754164.0,30990.117
667,8729734.0,30979.352
668,8705499.0,30968.41
669,8681440.0,30957.588
670,8657504.0,30946.87
671,8633700.0,30936.29
672,8610080.0,30926.002
673,8586605.0,30915.912
674,8563225.0,30905.906
675,8540000.0,30895.98
676,8516925.0,30886.07
677,8493925.0,30876.225
678,8471044.0,30866.432
679,8448297.0,30856.781
680,8425701.0,30847.426
681,8403209.0,30838.238
682,8380844.5,30829.123
683,8358579.0,30820.238
684,8336403.0,30811.441
685,8314349.0,30802.63
686,8292418.0,30793.863
687,8270613.5,30785.166
688,8248969.0,30776.383
689,8227456.5,30767.469
690,8206113.0,30758.55
691,8184882.0,30749.654
692,8163763.5,30740.826
693,8142769.5,30731.992
694,8121874.0,30723.105
695,8101095.5,30714.082
696,8080414.0,30704.867
697,8059823.5,30695.639
698,8039284.5,30686.395
699,8018817.0,30677.111
700,7998472.0,30667.906
701,7978244.0,30658.777
702,7958113.0,30649.637
703,7938108.0,30640.443
704,7918230.5,30631.402
705,7898469.0,30622.496
706,7878829.5,30613.625
707,7859318.0,30604.912
708,7839900.0,30596.38
709,7820604.0,30587.99
710,7801396.0,30579.71
711,7782300.0,30571.527
712,7763301.5,30563.453
713,7744411.0,30555.516
714,7725599.0,30547.658
715,7706928.0,30539.861
716,7688363.5,30532.02
717,7669890.0,30524.078
718,7651465.0,30516.207
719,7633110.0,30508.42
720,7614826.5,30500.514
721,7596620.0,30492.586
722,7578488.0,30484.51
723,7560454.0,30476.379
724,7542511.0,30468.07
725,7524678.0,30459.516
726,7506914.0,30450.926
727,7489264.0,30442.334
728,7471694.5,30433.785
729,7454181.0,30425.344
730,7436755.5,30416.94
731,7419395.0,30408.602
732,7402130.0,30400.309
733,7384970.0,30392.006
734,7367898.0,30383.7
735,7350907.5,30375.555
736,7333992.0,30367.516
737,7317152.0,30359.39
738,7300411.5,30351.145
739,7283760.5,30342.855
740,7267193.5,30334.389
741,7250709.0,30325.68
742,7234308.0,30316.89
743,7218000.0,30307.934
744,7201796.0,30298.908
